repo,project,file,kind,name,signature,tags,depends_on,lines,body_hash
TheWatch,TheWatch,./TheWatch/Adapters/Mock/ServiceCollectionExtensions.g.cs,class,TheWatch.Adapters.Mock.ServiceCollectionExtensions,class ServiceCollectionExtensions (1 members),,,86,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/adapters/AdapterRegistry.kt,source,AdapterRegistry,kotlin source,#android #kotlin,,251,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/adapters/AdapterSlot.kt,source,AdapterSlot,kotlin source,#android #kotlin,,153,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/adapters/AdapterTier.kt,source,AdapterTier,kotlin source,#android #kotlin,,61,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/adapters/SignalRAdapterSync.kt,source,SignalRAdapterSync,kotlin source,#android #kotlin #offline #realtime,,263,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/api/WatchApiClient.kt,source,WatchApiClient,kotlin source,#android #kotlin #api,,516,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/ble/BLEMeshPort.kt,service,BLEMeshPort,kotlin service,#android #kotlin,,167,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/ble/mock/MockBLEMeshAdapter.kt,adapter,MockBLEMeshAdapter,kotlin adapter,#android #kotlin,,108,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/ble/native/BLEMeshAdapter.kt,adapter,BLEMeshAdapter,kotlin adapter,#android #kotlin,,361,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/checkin/CheckInSchedulePort.kt,service,CheckInSchedulePort,kotlin service,#android #kotlin #scheduling,,143,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/checkin/mock/MockCheckInScheduleAdapter.kt,adapter,MockCheckInScheduleAdapter,kotlin adapter,#android #kotlin #scheduling,,127,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/dsl/DSLRuleEnginePort.kt,service,DSLRuleEnginePort,kotlin service,#android #kotlin,,57,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/dsl/mock/MockDSLRuleEngineAdapter.kt,adapter,MockDSLRuleEngineAdapter,kotlin adapter,#android #kotlin,,60,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/emergency/ImplicitDetectionPort.kt,service,ImplicitDetectionPort,kotlin service,#android #kotlin #emergency,,197,
